Gene,Sample_01,Sample_02,Sample_03,Sample_04,Sample_05
TP53,8.41,7.92,9.15,6.88,8.03
EGFR,12.10,11.45,13.02,10.88,12.55
KRAS,6.72,5.91,7.14,6.05,6.48
ALK,4.20,3.88,4.55,4.01,3.95
BRAF,7.90,8.12,7.65,8.44,7.71
MYC,9.33,8.76,9.81,8.95,9.20
PTEN,5.14,4.88,5.42,5.01,4.97
PIK3CA,6.55,6.21,6.90,6.33,6.48
ERBB2,10.22,9.85,10.61,9.70,10.05
MET,7.18,6.94,7.55,7.02,7.31
CDKN2A,3.42,3.11,3.68,3.25,3.37
APC,5.88,5.55,6.12,5.70,5.91
CTNNB1,8.05,7.77,8.40,7.91,8.12
VEGF,6.40,6.12,6.75,6.28,6.51
STAT3,7.66,7.30,8.01,7.44,7.72
